,date,country,GDP,出口金额,工业,股票市值,国际收支金融账户差额,国际收支经常账户差额,国际收支经常账户贷方,国际收支经常账户借方,国际收支资本账户差额,国际收支资本账户贷方,国际收支资本账户借方,国际收支差额,国际投资头寸资产,国际投资头寸负债,国际投资头寸净额,进口金额,名义有效汇率,零售额,CPI,失业率,中央银行政策利率,quarter,ADM0_ISO,first,second,third,year
2026,2017-03-31,俄罗斯,1.310013816130332,27.92480374750569,2.92,51.55760694652756,132.0349031790346,68.521962228748,30.97344311599861,24.18866116370583,312.524557956778,72.07776427703524,-4.198324566530294,-26.90810443499008,5.797514144511731,17.85713690277513,-26.90832669658069,27.483333333333334,31.45869179529311,-1.6,4.633333333333333,5.555303,9.916666666666668,1,RUS,0.9420801977894224,1.232346148574007,0.3824551709224384,2017
2027,2017-06-30,俄罗斯,2.341242453279013,23.81499918624492,4.503333333333333,17.305040995071884,163.2351239828776,-13.23178503051502,21.78913975992333,22.48182484285732,86.48361972300512,-43.33146277590722,-83.24992991309223,-6.366475165414344,6.08448383961792,10.28103168456256,-6.366908997513148,29.043333333333333,18.74997846070816,0.933333333333333,4.2,5.21812,9.333333333333332,2,RUS,0.0275277615454862,0.0,0.0,2017
2028,2017-09-30,俄罗斯,2.637920783311617,19.493271402661197,2.53,14.278842734553283,-456.6433866061099,-2707.562436785186,18.11576651442966,21.73598404973731,-193.0620092933825,-55.71859296482412,7.035654147448569,-7.533798420809849,7.825233279033208,12.72653650260825,-7.53420469746566,21.746666666666666,7.667741763706065,2.033333333333333,3.4,5.010365,8.833333333333332,3,RUS,0.0,0.0151289740334753,0.1244474649809926,2017
2029,2017-12-31,俄罗斯,1.040341645244975,23.30971194316811,-0.986666666666667,9.066896010954215,101.6466432628447,28.29475691971278,20.9116679145001,20.17779049660028,-99.81506715982091,-61.40221494462638,7.516065940206762,27.60125635935756,8.514092752385347,4.409240154387843,27.60086737514134,22.336666666666666,2.552245633393212,3.266666666666667,2.566666666666667,5.092336,8.083333333333332,4,RUS,0.5249772464555048,0.8474227231749086,0.7431266633010822,2017
2030,2018-03-31,俄罗斯,2.563064454838286,4.950548853117643,10.663333333333332,10.547840349636928,44.85407455000649,42.91882592923442,22.6848889584918,17.72355985281208,-651.6061936676681,-62.13105493574354,197.2140315200813,22.48316613135428,8.578998505124405,5.399498595104739,22.48295484991135,20.136666666666667,-6.279359643154842,2.7,2.266666666666667,5.040833,7.5,1,RUS,0.6678632992812855,0.7323981113605129,0.3067628363875293,2018
2031,2018-06-30,俄罗斯,2.72898101891561,30.315534037527296,7.64,7.891256866196017,287.2127689186121,1092.878311397549,25.35682620229337,10.39881465190917,-13.58183856502242,-19.59069153325631,5.171764508975271,8.765100425890443,3.730188557617241,2.289446344150246,8.765003323550046,8.28,-12.389041285613626,3.166666666666667,2.366666666666667,4.78619,7.25,2,RUS,0.0043558876540969,0.0,0.0,2018
2032,2018-09-30,俄罗斯,2.63390614937588,31.09508726103452,7.633333333333333,6.002928556553413,817.3809724040991,937.6488139638968,27.89471279186876,0.425406716918675,85.3133608815427,4.981842941443486,-30.88919288645691,15.25933961423868,0.539116358307585,-3.313852096616814,15.25899605999486,-1.723333333333333,-7.41410236090787,2.7,3,4.595316,7.333333333333333,3,RUS,0.0,0.0052672992050166,0.0638665709416244,2018
2033,2018-12-31,俄罗斯,3.239026043066282,20.688519353011014,6.653333333333333,-3.166036609086008,201.6489747472167,203.1021880783167,16.09810544573485,-3.745528243776093,-68912.63157894737,-62.07454904627741,150.3995582120582,33.57435136247372,-0.233295862891418,-9.118969688252,33.57401714500437,-3.563333333333333,-8.360127879810513,2.733333333333333,3.866666666666667,4.810364,7.583333333333333,4,RUS,0.2893196503677149,0.7723877376009103,0.7206486798267073,2018
2034,2019-03-31,俄罗斯,1.388533002763215,-6.120743891874463,3.51,-7.141512142801131,-2.8809906185279,11.3870898396937,-0.169219072708963,-3.609253902553665,106.3516004692475,92.41096401267947,-69.88129041086518,27.48280649716937,0.530687879056196,-6.631442530824925,27.48229659106208,-3.523333333333333,-7.350203020190931,2.3,5.166666666666667,4.845534,7.75,1,RUS,0.9727535022177488,0.9482052140681212,0.4442153027459633,2019
2035,2019-06-30,俄罗斯,1.35756123365987,-7.460084119718528,3.043333333333333,8.99272193373315,-45.52971989277722,-43.27376541770048,-3.698603227788908,2.293119049586186,97.66569609633322,38.17733990147783,-71.33479212253829,20.12359875959402,8.109677927943451,4.454370815623772,20.122986251934,-2.426666666666667,2.007489864020571,1.9,5,4.605196,7.666666666666667,2,RUS,0.0243108920284128,0.0,0.0,2019
