,date,country,GDP,出口金额,工业,股票市值,国际收支金融账户差额,国际收支经常账户差额,国际收支经常账户贷方,国际收支经常账户借方,国际收支资本账户差额,国际收支资本账户贷方,国际收支资本账户借方,国际收支差额,国际投资头寸资产,国际投资头寸负债,国际投资头寸净额,进口金额,名义有效汇率,零售额,CPI,失业率,中央银行政策利率,year,quarter
2736,2020-03-31,意大利,-6.3,-2.596666666666667,-11.122719090318062,2.713368187688117,227.7563979829042,37.60695021163927,-9.713655257942731,-11.61107736876168,-619.6935312238605,13.9113061680952,71.42623340340302,16.47572772980293,0.291482763435544,-0.191179296912361,16.47624414902562,-5.81,-0.076721279877844,-4.053333333333333,0.3,9,0,2020,1
2737,2020-06-30,意大利,-17.6,-28.136666666666667,-26.122753279122687,-5.728925754126703,-65.41559103869805,-57.40929738454457,-31.58276818964238,-29.58692378221203,455.7926590937279,44.46175282790751,-14.28065690997748,55.21038063044788,2.939046212918522,1.638809509510259,55.21191309234036,-27.80666666666667,1.201258509254821,-13.123333333333333,-0.133333333333333,8.6,0,2020,2
2738,2020-09-30,意大利,-6.2,-3.783333333333333,-4.401310429712181,3.786094449685387,229.3182534924193,47.24107092537781,-6.424037030504308,-12.94887485494798,503.6338153011299,70.88429341502929,9.863331930872608,114.6115605370256,10.9914777611179,7.247649183097187,114.6165751976268,-9.93,3.046825794892015,-0.786666666666667,-0.5,10,0,2020,3
2739,2020-12-31,意大利,-6,-0.423333333333333,-2.421158415132655,8.278341499284682,0.678283430729545,23.11345421030209,1.523155842244562,-1.652367797201688,220.7754183837545,67.22467160144603,-24.97897519473573,144.770237329936,14.23562878206413,12.31846312169335,144.7273517881912,-3.306666666666667,3.515641613540166,-2.84,-0.233333333333333,9.766666,0,2020,4
2740,2021-03-31,意大利,1.5,6.053333333333333,12.184782999647053,24.121493733521095,95.28620336666853,18.00300204443991,15.05777731265776,14.87472578580421,-65.3428643679053,105.4734573716789,89.47751089836947,164.517068931298,17.4812537912437,13.09658881866919,164.5273280778128,8.43,3.147002668321581,3.5,0.6,10.16667,0,2021,1
2741,2021-06-30,意大利,18.1,55.17333333333333,38.603099399789535,64.5848093301659,190.2253833134696,208.832489934012,56.13440257108969,48.99757914240813,143.6618641926284,122.4597688360132,112.1494674094446,378.5711389169351,15.15535646623844,11.27554164973181,378.614544911913,50.276666666666664,2.020254758267568,17.253333333333334,1.233333333333333,9.8,0,2021,2
2742,2021-09-30,意大利,6.6,14.996666666666666,4.220447692025078,59.80674292829219,-0.444699217517407,-34.86969057804163,18.64383621446207,29.64816668249215,446.1041168055221,176.8741721524843,71.81512375756,838.1825693745094,8.304657257122209,4.934738447924062,837.9268883521282,28.886666666666667,-0.30057783402348,4.676666666666667,2.133333333333333,9.133333,0,2021,3
2743,2021-12-31,意大利,8,14.166666666666668,4.829596252190394,51.979392298160796,-155.9441834189439,-90.23605200278377,10.922805776314,29.54466851275283,-91.68379548626724,4.231761816337134,53.66739347644955,751.8575465763611,1.980820394000081,-1.623865923009363,752.5495128571004,35.20333333333333,-0.989332113462839,8.72,3.533333333333333,9,0,2021,4
2744,2022-03-31,意大利,6.6,22.156666666666666,1.473974144911853,30.476695046752845,-224.034905866381,-203.4711151440907,14.94363886908493,28.94859699197346,181.4604114959717,58.62678573049852,-24.88180458408964,176.8377952196261,2.789256479256851,0.397306548857359,176.8187456915668,44.07333333333333,-0.816771981585308,6.253333333333333,5.666666666666667,8.5,0,2022,1
2745,2022-06-30,意大利,5.3,21.44,2.088751066523124,-9.437088874475176,-102.1272649830003,-148.2835137215442,10.91871634157508,26.33861133956922,74.86097098245679,-0.730422951676611,-42.94967727502002,11.17248334143786,-9.43721089249683,-9.945643300155458,11.17196741199731,44.50333333333333,-2.011443432764165,5.543333333333333,6.933333333333333,8.066667,0,2022,2
2942,1995-03-31,加拿大,4.46,18.98,9.306141199072723,-6.171776052850905,87.59200641876485,38.10759881932853,24.06502818792099,16.79161109858988,-136.1002848391357,0.103280467023883,81.96237791388837,-8.18959403274735,14.58353536532558,11.81661337649524,-8.184432228034163,10.62,-4.565078945909249,5.110368065141622,1.52,9.633333,7.81,1995,1
2943,1995-06-30,加拿大,3,8.65,5.450406087420507,4.441727657233412,116.0915372656356,31.01219298530077,17.09254222794808,13.01095286901222,-6900.760165183871,5.83713494902331,740.951345076191,-7.334312906378432,19.41950853739635,14.24296140412664,-7.338006159590392,6.62,-0.480269189791317,4.031888367731392,2.693333333333333,9.5,7.583333333333333,1995,2
2944,1995-09-30,加拿大,1.83,4.62,2.891935375871518,9.893521373959244,-72.26100302000904,114.9421685466345,13.73402588058983,9.114694888044115,81.54665809245618,6.224878307879651,-7.517255339390803,-2.352397730739696,16.08492324424273,10.33382081133549,-2.361777921116064,5.12,1.54359778424055,4.273556291437431,2.33,9.433333,6.333333333333333,1995,3
2945,1995-12-31,加拿大,1.5,4.42,0.848615923712864,11.987919763332963,50.39732467465185,268.2122321113901,9.507677123139507,4.575145394635298,-6021.724951863622,5.899394667600983,708.2575001617525,0.842485626384419,23.38059788987247,13.40010639062178,0.83966377058276,1.42,2.203231028993805,0.575345995498724,2.053333333333333,9.3,5.97,1995,4
2946,1996-03-31,加拿大,0.72,1.66,-0.904466059520263,24.97652498303677,-196.6180217964505,37.96145962818104,6.010735141760328,3.284626874028555,47.83187247504698,7.900044197337012,-35.62673248414484,6.22945111332108,21.79212909158974,10.06718005987944,6.23474890860159,3.58,4.002778026964883,3.603811713778521,1.456666666666667,9.5,5.25,1996,1
2947,1996-06-30,加拿大,1.4,7.94,0.402687174971031,27.790320436207356,656.7225324761321,157.5085316121942,7.91923088886583,-0.649207520292321,93.15162933666522,5.51466215497862,-82.05799565415249,9.024199050540513,20.73506982241905,8.751628883734762,9.03214757818959,2.61,3.426976239217968,2.344978387618973,1.443333333333333,9.433333,4.75,1996,2
2948,1996-09-30,加拿大,2.12,10.18,2.422188679676569,17.568811497018142,446.9157649080651,636.5657271587991,7.764281777674577,4.673098227583297,-5759.70514308596,3.873697020597831,183.6874284162186,9.110771964739678,18.62332381506806,7.839032693827173,9.114028310507015,7.04,0.833872719726875,1.775568533008905,1.403333333333333,9.666667,4.166666666666667,1996,3
2949,1996-12-31,加拿大,2.51,3.31,2.866214990382678,35.59161251611638,65.96042897733918,-60.32834787252438,5.338104118887668,7.214115726724202,86.73779820630284,5.443733645950253,-76.07010620460305,3.624846148144315,22.75552478842341,13.25020728172788,3.624123511799791,8.19,1.770923634971856,5.98620985537736,1.97,9.833333,3.083333333333333,1996,4
2950,1997-03-31,加拿大,3.73,9.04,4.232469535422153,30.10357655837365,154.4620637628677,4.203407962731472,10.87179599714701,10.31041974248643,-13.34574614254832,5.810471767477058,10.57973640549352,7.767296765357017,20.71581911863876,10.56729329411312,7.760420563936178,12.35,2.774862669878416,5.515063019088081,2.116666666666667,9.433333,3,1997,1
2951,1997-06-30,加拿大,4.16,6.32,4.927591601750275,25.57462567616073,-76.35737358900396,-215.105526263034,7.505433186084468,14.17965702936846,28.4964564273715,3.363262648352047,-7.430129802576117,10.72752316677349,27.45583823780898,14.60066373703229,10.719465784425,15.02,0.345733195372931,9.27461835103533,1.613333333333333,9.3,3.083333333333333,1997,2
