,date,country,GDP,quarter,ADM0_ISO,sum,mean,std,year
106,2018-09-30,中国,6.7,3,CHN,26841518.860084746,0.4906466214579493,2.886906482014769,2018
107,2018-12-31,中国,6.5,4,CHN,35761540.27152493,0.6536528802050998,3.337635294057671,2018
108,2019-03-31,中国,6.3,1,CHN,33987058.793664254,0.6236327335405885,3.2048691390874127,2019
109,2019-06-30,中国,6,2,CHN,26693247.632037815,0.4887382789187962,2.9302206691738752,2019
110,2019-09-30,中国,5.9,3,CHN,29733087.282601926,0.5441456683357275,3.432943143468954,2019
111,2019-12-31,中国,5.8,4,CHN,40385191.89456452,0.7388630033503135,3.55526276797293,2019
112,2020-03-31,中国,-6.9,1,CHN,35480575.26981108,0.6656041377670139,3.412205263225939,2020
113,2020-06-30,中国,3.1,2,CHN,28161499.772630285,0.5147335209749796,7.2694712061469815,2020
114,2020-09-30,中国,4.8,3,CHN,32876475.307134952,0.6005117328694928,13.011194986695878,2020
115,2020-12-31,中国,6.4,4,CHN,42794193.90887752,0.7811252357867572,4.6894745760815715,2020
116,2021-03-31,中国,18.7,1,CHN,42868262.847190894,0.32189529442731485,2.495853697421215,2021
117,2021-06-30,中国,8.3,2,CHN,31453963.97168821,0.23624855923625554,1.9597138067699242,2021
118,2021-09-30,中国,5.2,3,CHN,34367890.83163465,0.2581510206711392,2.2222692048052326,2021
119,2021-12-31,中国,4.3,4,CHN,46371695.947642505,0.3481753152333855,2.359455223355769,2021
120,2022-03-31,中国,4.8,1,CHN,48149952.27902677,0.3615623003954878,2.5402285041624424,2022
121,2022-06-30,中国,0.4,2,CHN,35651332.22816219,0.26773785343814244,2.273972710861522,2022
122,2022-09-30,中国,3.9,3,CHN,29449911.71212056,0.22119234560142942,1.799034192300651,2022
123,2022-12-31,中国,2.9,4,CHN,48429760.88332089,0.3636336077006877,2.3860192670491576,2022
124,2023-03-31,中国,4.5,1,CHN,49182491.86162337,0.36934855299527175,2.4406680383079222,2023
125,2023-06-30,中国,6.3,2,CHN,33769812.1586637,0.2536314096187055,2.033025244243808,2023
126,2023-09-30,中国,4.9,3,CHN,41062742.298246056,0.30836547671983977,2.499765572275429,2023
127,2023-12-31,中国,5.2,4,CHN,55211688.980573416,0.41455719463894436,2.7260267202136106,2023
128,2024-03-31,中国,5.3,1,CHN,50185742.87338217,0.3768905029428654,2.545172820306392,2024
390,2013-03-31,美国,1.7009,1,USA,68201268.08672935,1.0675964599174999,6.280838358183678,2013
391,2013-06-30,美国,1.5202,2,USA,32967498.316030975,0.5314397292340383,5.355717450314366,2013
392,2013-09-30,美国,2.237,3,USA,36047176.15094818,0.5725925110857109,5.660443125322328,2013
393,2013-12-31,美国,3.0086,4,USA,78275776.7878762,1.2188352101806663,6.587460533937215,2013
394,2014-03-31,美国,1.651,1,USA,81050933.98626296,1.2651062219601827,7.405670741360318,2014
395,2014-06-30,美国,2.6889,2,USA,31536483.340400357,0.5037968173310233,5.073313298733968,2014
396,2014-09-30,美国,3.0593,3,USA,40037062.828146935,0.624367168811212,5.7279847597522995,2014
397,2014-12-31,美国,2.6859,4,USA,76249852.85736343,1.2037785323045387,7.182402599017517,2014
398,2015-03-31,美国,3.969,1,USA,83193736.12745093,1.2959526555795995,6.872232978017838,2015
399,2015-06-30,美国,3.2789,2,USA,26895990.462694556,0.44297620793452985,5.025112808999442,2015
400,2015-09-30,美国,2.4475,3,USA,35898745.08821888,0.6136680710835937,5.609744050119642,2015
401,2015-12-31,美国,2.12,4,USA,70741310.67605539,1.1231263489542789,8.564126651306962,2015
402,2016-03-31,美国,1.7952,1,USA,71224845.62281382,1.1937521542104634,7.39861264759191,2016
403,2016-06-30,美国,1.4934,2,USA,30718881.42573178,0.53295834548752,4.988949943343816,2016
404,2016-09-30,美国,1.8057,3,USA,37816584.741175026,0.6084402488731954,28.884427829424737,2016
